,state,zip,returnsCount,returnsSingleCount,returnsJointCount,returnsHOHCount,totalIncome,standardDeductionReturnsCount,childDeductionCount
7100,IN,47110,0.0,110.0,170.0,400.0,0.0,0.0,0.0
7101,IN,47111,210.0,4140.0,5800.0,15780.0,1090.0,16368.0,107.0
7102,IN,47112,180.0,4340.0,5640.0,15470.0,1520.0,10184.0,116.0
7103,IN,47114,0.0,110.0,140.0,430.0,30.0,0.0,0.0
7104,IN,47115,40.0,640.0,780.0,2280.0,210.0,941.0,18.0
7105,IN,47116,0.0,240.0,210.0,590.0,0.0,0.0,6.0
7106,IN,47117,50.0,1150.0,1330.0,3970.0,310.0,1842.0,36.0
7107,IN,47118,30.0,880.0,990.0,2710.0,150.0,862.0,27.0
7108,IN,47119,210.0,3240.0,3360.0,12050.0,1960.0,32388.0,57.0
7109,IN,47120,0.0,240.0,280.0,850.0,30.0,0.0,9.0
7110,IN,47122,160.0,2750.0,3550.0,10860.0,1220.0,12810.0,65.0
7111,IN,47124,60.0,1250.0,1550.0,4840.0,490.0,5218.0,33.0
7112,IN,47125,20.0,440.0,530.0,1560.0,40.0,0.0,17.0
7113,IN,47126,60.0,1190.0,1580.0,4540.0,340.0,4746.0,28.0
7114,IN,47129,270.0,4550.0,7050.0,16440.0,890.0,6222.0,170.0
7115,IN,47130,630.0,11510.0,17650.0,42470.0,3020.0,37664.0,349.0
7116,IN,47135,0.0,330.0,410.0,1090.0,80.0,0.0,12.0
7117,IN,47136,60.0,1290.0,1500.0,4680.0,580.0,6152.0,23.0
7118,IN,47137,0.0,340.0,410.0,1130.0,80.0,743.0,10.0
7119,IN,47138,40.0,1210.0,1430.0,3970.0,200.0,1544.0,42.0
7120,IN,47140,20.0,670.0,870.0,2350.0,90.0,0.0,25.0
7121,IN,47141,0.0,450.0,500.0,1500.0,80.0,1244.0,10.0
7122,IN,47142,0.0,250.0,300.0,780.0,40.0,0.0,6.0
7123,IN,47143,40.0,890.0,1230.0,3580.0,270.0,3151.0,20.0
7124,IN,47145,0.0,500.0,620.0,1700.0,100.0,0.0,19.0
7125,IN,47147,0.0,290.0,320.0,960.0,60.0,0.0,7.0
7126,IN,47150,650.0,11140.0,17000.0,41300.0,3550.0,35301.0,331.0
7127,IN,47161,30.0,970.0,1310.0,3480.0,240.0,1732.0,30.0
7128,IN,47162,0.0,270.0,320.0,860.0,30.0,0.0,8.0
7129,IN,47163,30.0,370.0,510.0,1440.0,100.0,994.0,15.0
7130,IN,47164,40.0,850.0,1150.0,3240.0,210.0,1315.0,28.0
7131,IN,47165,70.0,1440.0,1950.0,5380.0,250.0,1877.0,56.0
7132,IN,47166,0.0,420.0,520.0,1380.0,120.0,0.0,8.0
7133,IN,47167,220.0,4310.0,4900.0,13750.0,880.0,5984.0,153.0
7134,IN,47170,150.0,3630.0,4900.0,12660.0,660.0,5894.0,122.0
7135,IN,47172,290.0,4700.0,6440.0,18460.0,1770.0,23087.0,107.0
7136,IN,47175,0.0,270.0,290.0,730.0,40.0,0.0,9.0
7137,IN,47177,20.0,350.0,450.0,1260.0,50.0,540.0,14.0
7138,IN,47201,780.0,9610.0,15850.0,42140.0,3890.0,54430.0,262.0
