,score,elapsedTime,nEst,crit,maxFeat,boots,oobScore,warmStart
476,0.7606338615512928,446.9437,100,entropy,,False,-1,True
478,0.7606338615512928,448.7991,100,entropy,,False,-1,True
477,0.7606338615512928,450.1537,100,entropy,,False,-1,False
479,0.7606338615512928,456.7723,100,entropy,,False,-1,False
316,0.7597998331943286,365.4156,80,entropy,,False,-1,True
318,0.7597998331943286,403.3472,80,entropy,,False,-1,True
317,0.7597998331943286,403.6213,80,entropy,,False,-1,False
319,0.7597998331943286,434.6432,80,entropy,,False,-1,False
38,0.7581317764804003,140.5212,50,gini,,False,-1,True
39,0.7581317764804003,140.6591,50,gini,,False,-1,False
37,0.7581317764804003,140.9283,50,gini,,False,-1,False
36,0.7581317764804003,141.0096,50,gini,,False,-1,True
117,0.7581317764804003,168.2538,60,gini,,False,-1,False
118,0.7581317764804003,168.2766,60,gini,,False,-1,True
119,0.7581317764804003,168.7888,60,gini,,False,-1,False
116,0.7581317764804003,169.7855,60,gini,,False,-1,True
199,0.7581317764804003,197.5004,70,gini,,False,-1,False
196,0.7581317764804003,198.1456,70,gini,,False,-1,True
198,0.7581317764804003,198.5885,70,gini,,False,-1,True
197,0.7581317764804003,198.7341,70,gini,,False,-1,False
278,0.7564637197664721,224.3513,80,gini,,False,-1,True
279,0.7564637197664721,225.1221,80,gini,,False,-1,False
276,0.7564637197664721,226.1457,80,gini,,False,-1,True
277,0.7564637197664721,227.6289,80,gini,,False,-1,False
357,0.7564637197664721,252.0848,90,gini,,False,-1,False
436,0.7564637197664721,278.211,100,gini,,False,-1,True
438,0.7564637197664721,278.9256,100,gini,,False,-1,True
439,0.7564637197664721,279.2478,100,gini,,False,-1,False
356,0.7564637197664721,282.5836,90,gini,,False,-1,True
437,0.7564637197664721,282.8016,100,gini,,False,-1,False
358,0.7564637197664721,308.4327,90,gini,,False,-1,True
359,0.7564637197664721,357.5684,90,gini,,False,-1,False
