,score,elapsedTime,nEst,crit,maxFeat,boots,oobScore,warmStart
0,0.8607172643869891,12.142,80,entropy,sqrt,False,-1,False
1,0.8607172643869891,12.1439,80,entropy,sqrt,False,-1,True
2,0.8607172643869891,12.1529,80,entropy,sqrt,False,-1,False
3,0.8607172643869891,12.3296,80,entropy,auto,False,-1,False
4,0.8607172643869891,12.3833,80,entropy,sqrt,False,-1,True
5,0.8607172643869891,12.5957,80,entropy,auto,False,-1,True
6,0.8607172643869891,12.9439,80,entropy,auto,False,-1,True
7,0.8607172643869891,13.008,80,entropy,auto,False,-1,False
8,0.859883236030025,8.2309,60,entropy,sqrt,False,-1,True
9,0.859883236030025,8.2343,60,entropy,sqrt,False,-1,False
10,0.859883236030025,8.2625,60,entropy,auto,False,-1,False
11,0.859883236030025,8.2671,60,entropy,auto,False,-1,True
12,0.859883236030025,8.3446,60,entropy,sqrt,False,-1,True
13,0.859883236030025,8.3716,60,entropy,auto,False,-1,True
