,score,elapsedTime,transformApplied,maxIterations,convergTol,n_neighbors,weight,algorithm,metric,power
320,0.8298582151793161,0.2813,False,10,1e-05,8,uniform,brute,minkowski,2
3392,0.8298582151793161,0.2836,False,30,1e-05,8,uniform,brute,minkowski,2
6851,0.8298582151793161,0.2862,False,50,0.0001,8,uniform,auto,minkowski,2
1859,0.8298582151793161,0.2876,False,20,1e-05,8,uniform,auto,minkowski,2
6464,0.8298582151793161,0.2896,False,50,1e-05,8,uniform,brute,minkowski,2
3776,0.8298582151793161,0.29,False,30,0.0001,8,uniform,brute,minkowski,2
2627,0.8298582151793161,0.2904,False,20,0.001,8,uniform,auto,minkowski,2
6848,0.8298582151793161,0.2922,False,50,0.0001,8,uniform,brute,minkowski,2
7232,0.8298582151793161,0.2931,False,50,0.001,8,uniform,brute,minkowski,2
4931,0.8298582151793161,0.2948,False,40,1e-05,8,uniform,auto,minkowski,2
1856,0.8298582151793161,0.2966,False,20,1e-05,8,uniform,brute,minkowski,2
707,0.8298582151793161,0.2971,False,10,0.0001,8,uniform,auto,minkowski,2
2243,0.8298582151793161,0.3007,False,20,0.0001,8,uniform,auto,minkowski,2
3395,0.8298582151793161,0.3009,False,30,1e-05,8,uniform,auto,minkowski,2
3779,0.8298582151793161,0.3021,False,30,0.0001,8,uniform,auto,minkowski,2
1088,0.8298582151793161,0.303,False,10,0.001,8,uniform,brute,minkowski,2
7235,0.8298582151793161,0.3033,False,50,0.001,8,uniform,auto,minkowski,2
4547,0.8298582151793161,0.3043,False,30,0.01,8,uniform,auto,minkowski,2
6467,0.8298582151793161,0.3082,False,50,1e-05,8,uniform,auto,minkowski,2
4928,0.8298582151793161,0.3091,False,40,1e-05,8,uniform,brute,minkowski,2
4163,0.8298582151793161,0.3092,False,30,0.001,8,uniform,auto,minkowski,2
1091,0.8298582151793161,0.3096,False,10,0.001,8,uniform,auto,minkowski,2
4160,0.8298582151793161,0.3097,False,30,0.001,8,uniform,brute,minkowski,2
5696,0.8298582151793161,0.3142,False,40,0.001,8,uniform,brute,minkowski,2
4544,0.8298582151793161,0.3148,False,30,0.01,8,uniform,brute,minkowski,2
704,0.8298582151793161,0.3149,False,10,0.0001,8,uniform,brute,minkowski,2
323,0.8298582151793161,0.3152,False,10,1e-05,8,uniform,auto,minkowski,2
6080,0.8298582151793161,0.3179,False,40,0.01,8,uniform,brute,minkowski,2
3011,0.8298582151793161,0.3193,False,20,0.01,8,uniform,auto,minkowski,2
2240,0.8298582151793161,0.3197,False,20,0.0001,8,uniform,brute,minkowski,2
5699,0.8298582151793161,0.3206,False,40,0.001,8,uniform,auto,minkowski,2
7616,0.8298582151793161,0.3232,False,50,0.01,8,uniform,brute,minkowski,2
5315,0.8298582151793161,0.326,False,40,0.0001,8,uniform,auto,minkowski,2
7619,0.8298582151793161,0.3326,False,50,0.01,8,uniform,auto,minkowski,2
2624,0.8298582151793161,0.3343,False,20,0.001,8,uniform,brute,minkowski,2
5312,0.8298582151793161,0.337,False,40,0.0001,8,uniform,brute,minkowski,2
1475,0.8298582151793161,0.3419,False,10,0.01,8,uniform,auto,minkowski,2
6083,0.8298582151793161,0.3459,False,40,0.01,8,uniform,auto,minkowski,2
3008,0.8298582151793161,0.3536,False,20,0.01,8,uniform,brute,minkowski,2
1472,0.8298582151793161,0.4328,False,10,0.01,8,uniform,brute,minkowski,2
7226,0.8298582151793161,1.8099,False,50,0.001,8,uniform,ball_tree,minkowski,2
6842,0.8298582151793161,1.8224,False,50,0.0001,8,uniform,ball_tree,minkowski,2
6458,0.8298582151793161,1.8284,False,50,1e-05,8,uniform,ball_tree,minkowski,2
2234,0.8298582151793161,1.8292,False,20,0.0001,8,uniform,ball_tree,minkowski,2
2618,0.8298582151793161,1.842,False,20,0.001,8,uniform,ball_tree,minkowski,2
3770,0.8298582151793161,1.8463,False,30,0.0001,8,uniform,ball_tree,minkowski,2
1850,0.8298582151793161,1.8585,False,20,1e-05,8,uniform,ball_tree,minkowski,2
3386,0.8298582151793161,1.9965,False,30,1e-05,8,uniform,ball_tree,minkowski,2
1466,0.8298582151793161,2.0361,False,10,0.01,8,uniform,ball_tree,minkowski,2
4538,0.8298582151793161,2.0644,False,30,0.01,8,uniform,ball_tree,minkowski,2
314,0.8298582151793161,2.1927,False,10,1e-05,8,uniform,ball_tree,minkowski,2
4922,0.8298582151793161,2.2034,False,40,1e-05,8,uniform,ball_tree,minkowski,2
698,0.8298582151793161,2.2166,False,10,0.0001,8,uniform,ball_tree,minkowski,2
4154,0.8298582151793161,2.2204,False,30,0.001,8,uniform,ball_tree,minkowski,2
1082,0.8298582151793161,2.2359,False,10,0.001,8,uniform,ball_tree,minkowski,2
5690,0.8298582151793161,2.3378,False,40,0.001,8,uniform,ball_tree,minkowski,2
5306,0.8298582151793161,2.3654,False,40,0.0001,8,uniform,ball_tree,minkowski,2
7610,0.8298582151793161,2.4123,False,50,0.01,8,uniform,ball_tree,minkowski,2
6074,0.8298582151793161,2.4286,False,40,0.01,8,uniform,ball_tree,minkowski,2
3002,0.8298582151793161,2.4444,False,20,0.01,8,uniform,ball_tree,minkowski,2
7229,0.8298582151793161,2.8555,False,50,0.001,8,uniform,kd_tree,minkowski,2
2237,0.8298582151793161,2.8793,False,20,0.0001,8,uniform,kd_tree,minkowski,2
6845,0.8298582151793161,2.8858,False,50,0.0001,8,uniform,kd_tree,minkowski,2
3389,0.8298582151793161,2.8877,False,30,1e-05,8,uniform,kd_tree,minkowski,2
3773,0.8298582151793161,2.9138,False,30,0.0001,8,uniform,kd_tree,minkowski,2
1853,0.8298582151793161,2.9352,False,20,1e-05,8,uniform,kd_tree,minkowski,2
2621,0.8298582151793161,2.9759,False,20,0.001,8,uniform,kd_tree,minkowski,2
317,0.8298582151793161,3.007,False,10,1e-05,8,uniform,kd_tree,minkowski,2
1469,0.8298582151793161,3.0123,False,10,0.01,8,uniform,kd_tree,minkowski,2
701,0.8298582151793161,3.0682,False,10,0.0001,8,uniform,kd_tree,minkowski,2
6461,0.8298582151793161,3.0835,False,50,1e-05,8,uniform,kd_tree,minkowski,2
1085,0.8298582151793161,3.163,False,10,0.001,8,uniform,kd_tree,minkowski,2
4157,0.8298582151793161,3.1848,False,30,0.001,8,uniform,kd_tree,minkowski,2
4925,0.8298582151793161,3.2399,False,40,1e-05,8,uniform,kd_tree,minkowski,2
7613,0.8298582151793161,3.2499,False,50,0.01,8,uniform,kd_tree,minkowski,2
6077,0.8298582151793161,3.2578,False,40,0.01,8,uniform,kd_tree,minkowski,2
5309,0.8298582151793161,3.3064,False,40,0.0001,8,uniform,kd_tree,minkowski,2
5693,0.8298582151793161,3.4625,False,40,0.001,8,uniform,kd_tree,minkowski,2
3005,0.8298582151793161,3.5385,False,20,0.01,8,uniform,kd_tree,minkowski,2
4541,0.8298582151793161,3.5553,False,30,0.01,8,uniform,kd_tree,minkowski,2
7427,0.8290241868223519,0.2803,True,50,0.01,8,uniform,auto,minkowski,2
6272,0.8290241868223519,0.2806,True,50,1e-05,8,uniform,brute,minkowski,2
7040,0.8290241868223519,0.2808,True,50,0.001,8,uniform,brute,minkowski,2
3587,0.8290241868223519,0.281,True,30,0.0001,8,uniform,auto,minkowski,2
6275,0.8290241868223519,0.2816,True,50,1e-05,8,uniform,auto,minkowski,2
7424,0.8290241868223519,0.2823,True,50,0.01,8,uniform,brute,minkowski,2
6659,0.8290241868223519,0.2828,True,50,0.0001,8,uniform,auto,minkowski,2
3968,0.8290241868223519,0.2832,True,30,0.001,8,uniform,brute,minkowski,2
1664,0.8290241868223519,0.2835,True,20,1e-05,8,uniform,brute,minkowski,2
2819,0.8290241868223519,0.2838,True,20,0.01,8,uniform,auto,minkowski,2
3971,0.8290241868223519,0.2844,True,30,0.001,8,uniform,auto,minkowski,2
3203,0.8290241868223519,0.2894,True,30,1e-05,8,uniform,auto,minkowski,2
3584,0.8290241868223519,0.2904,True,30,0.0001,8,uniform,brute,minkowski,2
2432,0.8290241868223519,0.2906,True,20,0.001,8,uniform,brute,minkowski,2
2048,0.8290241868223519,0.2912,True,20,0.0001,8,uniform,brute,minkowski,2
7043,0.8290241868223519,0.2912,True,50,0.001,8,uniform,auto,minkowski,2
1667,0.8290241868223519,0.2914,True,20,1e-05,8,uniform,auto,minkowski,2
2435,0.8290241868223519,0.2919,True,20,0.001,8,uniform,auto,minkowski,2
2816,0.8290241868223519,0.2919,True,20,0.01,8,uniform,brute,minkowski,2
131,0.8290241868223519,0.2921,True,10,1e-05,8,uniform,auto,minkowski,2
3200,0.8290241868223519,0.2921,True,30,1e-05,8,uniform,brute,minkowski,2
128,0.8290241868223519,0.2937,True,10,1e-05,8,uniform,brute,minkowski,2
2051,0.8290241868223519,0.2953,True,20,0.0001,8,uniform,auto,minkowski,2
896,0.8290241868223519,0.2992,True,10,0.001,8,uniform,brute,minkowski,2
5123,0.8290241868223519,0.3006,True,40,0.0001,8,uniform,auto,minkowski,2
6656,0.8290241868223519,0.3019,True,50,0.0001,8,uniform,brute,minkowski,2
5888,0.8290241868223519,0.3029,True,40,0.01,8,uniform,brute,minkowski,2
4736,0.8290241868223519,0.3085,True,40,1e-05,8,uniform,brute,minkowski,2
899,0.8290241868223519,0.3089,True,10,0.001,8,uniform,auto,minkowski,2
515,0.8290241868223519,0.3104,True,10,0.0001,8,uniform,auto,minkowski,2
4739,0.8290241868223519,0.3127,True,40,1e-05,8,uniform,auto,minkowski,2
512,0.8290241868223519,0.313,True,10,0.0001,8,uniform,brute,minkowski,2
4352,0.8290241868223519,0.3153,True,30,0.01,8,uniform,brute,minkowski,2
5504,0.8290241868223519,0.3197,True,40,0.001,8,uniform,brute,minkowski,2
5120,0.8290241868223519,0.3215,True,40,0.0001,8,uniform,brute,minkowski,2
5507,0.8290241868223519,0.3218,True,40,0.001,8,uniform,auto,minkowski,2
4355,0.8290241868223519,0.3298,True,30,0.01,8,uniform,auto,minkowski,2
1283,0.8290241868223519,0.3358,True,10,0.01,8,uniform,auto,minkowski,2
5891,0.8290241868223519,0.3412,True,40,0.01,8,uniform,auto,minkowski,2
1280,0.8290241868223519,0.36,True,10,0.01,8,uniform,brute,minkowski,2
6502,0.8290241868223519,1.6407,False,50,1e-05,9,distance,auto,minkowski,1
2083,0.8290241868223519,1.6478,True,20,0.0001,9,distance,brute,minkowski,1
4003,0.8290241868223519,1.6497,True,30,0.001,9,distance,brute,minkowski,1
7270,0.8290241868223519,1.65,False,50,0.001,9,distance,auto,minkowski,1
2278,0.8290241868223519,1.6503,False,20,0.0001,9,distance,auto,minkowski,1
2086,0.8290241868223519,1.6518,True,20,0.0001,9,distance,auto,minkowski,1
6694,0.8290241868223519,1.6519,True,50,0.0001,9,distance,auto,minkowski,1
7462,0.8290241868223519,1.6523,True,50,0.01,9,distance,auto,minkowski,1
6307,0.8290241868223519,1.6526,True,50,1e-05,9,distance,brute,minkowski,1
7078,0.8290241868223519,1.6527,True,50,0.001,9,distance,auto,minkowski,1
4966,0.8290241868223519,1.653,False,40,1e-05,9,distance,auto,minkowski,1
2662,0.8290241868223519,1.6553,False,20,0.001,9,distance,auto,minkowski,1
6886,0.8290241868223519,1.6557,False,50,0.0001,9,distance,auto,minkowski,1
2659,0.8290241868223519,1.6609,False,20,0.001,9,distance,brute,minkowski,1
4582,0.8290241868223519,1.6617,False,30,0.01,9,distance,auto,minkowski,1
7267,0.8290241868223519,1.6634,False,50,0.001,9,distance,brute,minkowski,1
6691,0.8290241868223519,1.6638,True,50,0.0001,9,distance,brute,minkowski,1
4006,0.8290241868223519,1.6648,True,30,0.001,9,distance,auto,minkowski,1
1894,0.8290241868223519,1.665,False,20,1e-05,9,distance,auto,minkowski,1
7075,0.8290241868223519,1.6672,True,50,0.001,9,distance,brute,minkowski,1
1699,0.8290241868223519,1.6686,True,20,1e-05,9,distance,brute,minkowski,1
934,0.8290241868223519,1.6692,True,10,0.001,9,distance,auto,minkowski,1
3238,0.8290241868223519,1.6697,True,30,1e-05,9,distance,auto,minkowski,1
3619,0.8290241868223519,1.6701,True,30,0.0001,9,distance,brute,minkowski,1
2470,0.8290241868223519,1.6704,True,20,0.001,9,distance,auto,minkowski,1
3622,0.8290241868223519,1.6705,True,30,0.0001,9,distance,auto,minkowski,1
2275,0.8290241868223519,1.671,False,20,0.0001,9,distance,brute,minkowski,1
1891,0.8290241868223519,1.6711,False,20,1e-05,9,distance,brute,minkowski,1
6310,0.8290241868223519,1.6729,True,50,1e-05,9,distance,auto,minkowski,1
1702,0.8290241868223519,1.6752,True,20,1e-05,9,distance,auto,minkowski,1
166,0.8290241868223519,1.6773,True,10,1e-05,9,distance,auto,minkowski,1
931,0.8290241868223519,1.6791,True,10,0.001,9,distance,brute,minkowski,1
4579,0.8290241868223519,1.6796,False,30,0.01,9,distance,brute,minkowski,1
6883,0.8290241868223519,1.6843,False,50,0.0001,9,distance,brute,minkowski,1
163,0.8290241868223519,1.6867,True,10,1e-05,9,distance,brute,minkowski,1
3430,0.8290241868223519,1.6902,False,30,1e-05,9,distance,auto,minkowski,1
7459,0.8290241868223519,1.6909,True,50,0.01,9,distance,brute,minkowski,1
6499,0.8290241868223519,1.6918,False,50,1e-05,9,distance,brute,minkowski,1
3235,0.8290241868223519,1.6952,True,30,1e-05,9,distance,brute,minkowski,1
2851,0.8290241868223519,1.697,True,20,0.01,9,distance,brute,minkowski,1
4771,0.8290241868223519,1.6987,True,40,1e-05,9,distance,brute,minkowski,1
3427,0.8290241868223519,1.7025,False,30,1e-05,9,distance,brute,minkowski,1
4774,0.8290241868223519,1.7083,True,40,1e-05,9,distance,auto,minkowski,1
4963,0.8290241868223519,1.7096,False,40,1e-05,9,distance,brute,minkowski,1
1507,0.8290241868223519,1.7204,False,10,0.01,9,distance,brute,minkowski,1
2467,0.8290241868223519,1.7349,True,20,0.001,9,distance,brute,minkowski,1
358,0.8290241868223519,1.7395,False,10,1e-05,9,distance,auto,minkowski,1
1126,0.8290241868223519,1.7396,False,10,0.001,9,distance,auto,minkowski,1
1510,0.8290241868223519,1.74,False,10,0.01,9,distance,auto,minkowski,1
742,0.8290241868223519,1.7422,False,10,0.0001,9,distance,auto,minkowski,1
7034,0.8290241868223519,1.7423,True,50,0.001,8,uniform,ball_tree,minkowski,2
122,0.8290241868223519,1.7437,True,10,1e-05,8,uniform,ball_tree,minkowski,2
355,0.8290241868223519,1.7478,False,10,1e-05,9,distance,brute,minkowski,1
5923,0.8290241868223519,1.7523,True,40,0.01,9,distance,brute,minkowski,1
7418,0.8290241868223519,1.7534,True,50,0.01,8,uniform,ball_tree,minkowski,2
6650,0.8290241868223519,1.7631,True,50,0.0001,8,uniform,ball_tree,minkowski,2
1658,0.8290241868223519,1.7752,True,20,1e-05,8,uniform,ball_tree,minkowski,2
2854,0.8290241868223519,1.7754,True,20,0.01,9,distance,auto,minkowski,1
1123,0.8290241868223519,1.7816,False,10,0.001,9,distance,brute,minkowski,1
550,0.8290241868223519,1.7822,True,10,0.0001,9,distance,auto,minkowski,1
890,0.8290241868223519,1.7839,True,10,0.001,8,uniform,ball_tree,minkowski,2
3043,0.8290241868223519,1.7864,False,20,0.01,9,distance,brute,minkowski,1
5350,0.8290241868223519,1.788,False,40,0.0001,9,distance,auto,minkowski,1
4730,0.8290241868223519,1.7886,True,40,1e-05,8,uniform,ball_tree,minkowski,2
2042,0.8290241868223519,1.7907,True,20,0.0001,8,uniform,ball_tree,minkowski,2
5926,0.8290241868223519,1.7908,True,40,0.01,9,distance,auto,minkowski,1
5882,0.8290241868223519,1.7914,True,40,0.01,8,uniform,ball_tree,minkowski,2
7261,0.8290241868223519,1.7953,False,50,0.001,9,distance,ball_tree,minkowski,1
6877,0.8290241868223519,1.7976,False,50,0.0001,9,distance,ball_tree,minkowski,1
6493,0.8290241868223519,1.7978,False,50,1e-05,9,distance,ball_tree,minkowski,1
547,0.8290241868223519,1.8004,True,10,0.0001,9,distance,brute,minkowski,1
2810,0.8290241868223519,1.8007,True,20,0.01,8,uniform,ball_tree,minkowski,2
4390,0.8290241868223519,1.8012,True,30,0.01,9,distance,auto,minkowski,1
2269,0.8290241868223519,1.8015,False,20,0.0001,9,distance,ball_tree,minkowski,1
3046,0.8290241868223519,1.8097,False,20,0.01,9,distance,auto,minkowski,1
5347,0.8290241868223519,1.8119,False,40,0.0001,9,distance,brute,minkowski,1
4387,0.8290241868223519,1.8152,True,30,0.01,9,distance,brute,minkowski,1
4198,0.8290241868223519,1.8166,False,30,0.001,9,distance,auto,minkowski,1
6266,0.8290241868223519,1.8166,True,50,1e-05,8,uniform,ball_tree,minkowski,2
1315,0.8290241868223519,1.823,True,10,0.01,9,distance,brute,minkowski,1
5731,0.8290241868223519,1.8282,False,40,0.001,9,distance,brute,minkowski,1
4195,0.8290241868223519,1.8286,False,30,0.001,9,distance,brute,minkowski,1
1318,0.8290241868223519,1.8352,True,10,0.01,9,distance,auto,minkowski,1
3814,0.8290241868223519,1.8388,False,30,0.0001,9,distance,auto,minkowski,1
2653,0.8290241868223519,1.8394,False,20,0.001,9,distance,ball_tree,minkowski,1
2426,0.8290241868223519,1.8411,True,20,0.001,8,uniform,ball_tree,minkowski,2
5158,0.8290241868223519,1.8411,True,40,0.0001,9,distance,auto,minkowski,1
7453,0.8290241868223519,1.8419,True,50,0.01,9,distance,ball_tree,minkowski,1
1885,0.8290241868223519,1.8432,False,20,1e-05,9,distance,ball_tree,minkowski,1
6118,0.8290241868223519,1.8485,False,40,0.01,9,distance,auto,minkowski,1
7654,0.8290241868223519,1.8506,False,50,0.01,9,distance,auto,minkowski,1
6115,0.8290241868223519,1.8515,False,40,0.01,9,distance,brute,minkowski,1
5734,0.8290241868223519,1.8534,False,40,0.001,9,distance,auto,minkowski,1
739,0.8290241868223519,1.8539,False,10,0.0001,9,distance,brute,minkowski,1
7651,0.8290241868223519,1.8588,False,50,0.01,9,distance,brute,minkowski,1
5155,0.8290241868223519,1.8601,True,40,0.0001,9,distance,brute,minkowski,1
3811,0.8290241868223519,1.8657,False,30,0.0001,9,distance,brute,minkowski,1
3805,0.8290241868223519,1.8659,False,30,0.0001,9,distance,ball_tree,minkowski,1
2077,0.8290241868223519,1.8744,True,20,0.0001,9,distance,ball_tree,minkowski,1
3613,0.8290241868223519,1.8746,True,30,0.0001,9,distance,ball_tree,minkowski,1
3997,0.8290241868223519,1.8853,True,30,0.001,9,distance,ball_tree,minkowski,1
3962,0.8290241868223519,1.8862,True,30,0.001,8,uniform,ball_tree,minkowski,2
5542,0.8290241868223519,1.896,True,40,0.001,9,distance,auto,minkowski,1
3229,0.8290241868223519,1.8968,True,30,1e-05,9,distance,ball_tree,minkowski,1
5539,0.8290241868223519,1.8973,True,40,0.001,9,distance,brute,minkowski,1
4765,0.8290241868223519,1.9005,True,40,1e-05,9,distance,ball_tree,minkowski,1
157,0.8290241868223519,1.9007,True,10,1e-05,9,distance,ball_tree,minkowski,1
3421,0.8290241868223519,1.9007,False,30,1e-05,9,distance,ball_tree,minkowski,1
925,0.8290241868223519,1.9035,True,10,0.001,9,distance,ball_tree,minkowski,1
6685,0.8290241868223519,1.9074,True,50,0.0001,9,distance,ball_tree,minkowski,1
3578,0.8290241868223519,1.9082,True,30,0.0001,8,uniform,ball_tree,minkowski,2
7069,0.8290241868223519,1.9269,True,50,0.001,9,distance,ball_tree,minkowski,1
6301,0.8290241868223519,1.9515,True,50,1e-05,9,distance,ball_tree,minkowski,1
1274,0.8290241868223519,1.9685,True,10,0.01,8,uniform,ball_tree,minkowski,2
5917,0.8290241868223519,1.9764,True,40,0.01,9,distance,ball_tree,minkowski,1
2845,0.8290241868223519,2.0244,True,20,0.01,9,distance,ball_tree,minkowski,1
2461,0.8290241868223519,2.0286,True,20,0.001,9,distance,ball_tree,minkowski,1
1501,0.8290241868223519,2.0428,False,10,0.01,9,distance,ball_tree,minkowski,1
4381,0.8290241868223519,2.0434,True,30,0.01,9,distance,ball_tree,minkowski,1
4573,0.8290241868223519,2.0503,False,30,0.01,9,distance,ball_tree,minkowski,1
733,0.8290241868223519,2.0604,False,10,0.0001,9,distance,ball_tree,minkowski,1
1117,0.8290241868223519,2.0611,False,10,0.001,9,distance,ball_tree,minkowski,1
541,0.8290241868223519,2.0801,True,10,0.0001,9,distance,ball_tree,minkowski,1
5149,0.8290241868223519,2.1273,True,40,0.0001,9,distance,ball_tree,minkowski,1
1309,0.8290241868223519,2.1356,True,10,0.01,9,distance,ball_tree,minkowski,1
3194,0.8290241868223519,2.1957,True,30,1e-05,8,uniform,ball_tree,minkowski,2
5533,0.8290241868223519,2.2026,True,40,0.001,9,distance,ball_tree,minkowski,1
4189,0.8290241868223519,2.2262,False,30,0.001,9,distance,ball_tree,minkowski,1
4346,0.8290241868223519,2.2307,True,30,0.01,8,uniform,ball_tree,minkowski,2
4957,0.8290241868223519,2.2431,False,40,1e-05,9,distance,ball_tree,minkowski,1
349,0.8290241868223519,2.2636,False,10,1e-05,9,distance,ball_tree,minkowski,1
506,0.8290241868223519,2.2956,True,10,0.0001,8,uniform,ball_tree,minkowski,2
3037,0.8290241868223519,2.2968,False,20,0.01,9,distance,ball_tree,minkowski,1
6109,0.8290241868223519,2.336,False,40,0.01,9,distance,ball_tree,minkowski,1
5725,0.8290241868223519,2.3454,False,40,0.001,9,distance,ball_tree,minkowski,1
5341,0.8290241868223519,2.3515,False,40,0.0001,9,distance,ball_tree,minkowski,1
5114,0.8290241868223519,2.3586,True,40,0.0001,8,uniform,ball_tree,minkowski,2
1693,0.8290241868223519,2.3776,True,20,1e-05,9,distance,ball_tree,minkowski,1
7645,0.8290241868223519,2.3886,False,50,0.01,9,distance,ball_tree,minkowski,1
5498,0.8290241868223519,2.4146,True,40,0.001,8,uniform,ball_tree,minkowski,2
6304,0.8290241868223519,2.4738,True,50,1e-05,9,distance,kd_tree,minkowski,1
6688,0.8290241868223519,2.4772,True,50,0.0001,9,distance,kd_tree,minkowski,1
7456,0.8290241868223519,2.4795,True,50,0.01,9,distance,kd_tree,minkowski,1
2464,0.8290241868223519,2.489,True,20,0.001,9,distance,kd_tree,minkowski,1
3232,0.8290241868223519,2.4918,True,30,1e-05,9,distance,kd_tree,minkowski,1
2080,0.8290241868223519,2.4937,True,20,0.0001,9,distance,kd_tree,minkowski,1
3616,0.8290241868223519,2.5011,True,30,0.0001,9,distance,kd_tree,minkowski,1
160,0.8290241868223519,2.5055,True,10,1e-05,9,distance,kd_tree,minkowski,1
4000,0.8290241868223519,2.5101,True,30,0.001,9,distance,kd_tree,minkowski,1
7072,0.8290241868223519,2.5101,True,50,0.001,9,distance,kd_tree,minkowski,1
6269,0.8290241868223519,2.5341,True,50,1e-05,8,uniform,kd_tree,minkowski,2
7421,0.8290241868223519,2.5494,True,50,0.01,8,uniform,kd_tree,minkowski,2
1661,0.8290241868223519,2.5525,True,20,1e-05,8,uniform,kd_tree,minkowski,2
6653,0.8290241868223519,2.5544,True,50,0.0001,8,uniform,kd_tree,minkowski,2
7037,0.8290241868223519,2.5641,True,50,0.001,8,uniform,kd_tree,minkowski,2
1696,0.8290241868223519,2.5733,True,20,1e-05,9,distance,kd_tree,minkowski,1
4768,0.8290241868223519,2.5786,True,40,1e-05,9,distance,kd_tree,minkowski,1
3965,0.8290241868223519,2.5814,True,30,0.001,8,uniform,kd_tree,minkowski,2
3197,0.8290241868223519,2.5879,True,30,1e-05,8,uniform,kd_tree,minkowski,2
2429,0.8290241868223519,2.5914,True,20,0.001,8,uniform,kd_tree,minkowski,2
2813,0.8290241868223519,2.5917,True,20,0.01,8,uniform,kd_tree,minkowski,2
3581,0.8290241868223519,2.5965,True,30,0.0001,8,uniform,kd_tree,minkowski,2
2045,0.8290241868223519,2.602,True,20,0.0001,8,uniform,kd_tree,minkowski,2
4733,0.8290241868223519,2.6131,True,40,1e-05,8,uniform,kd_tree,minkowski,2
125,0.8290241868223519,2.6246,True,10,1e-05,8,uniform,kd_tree,minkowski,2
893,0.8290241868223519,2.6254,True,10,0.001,8,uniform,kd_tree,minkowski,2
928,0.8290241868223519,2.6469,True,10,0.001,9,distance,kd_tree,minkowski,1
5117,0.8290241868223519,2.6557,True,40,0.0001,8,uniform,kd_tree,minkowski,2
5920,0.8290241868223519,2.6563,True,40,0.01,9,distance,kd_tree,minkowski,1
2848,0.8290241868223519,2.6849,True,20,0.01,9,distance,kd_tree,minkowski,1
5885,0.8290241868223519,2.6853,True,40,0.01,8,uniform,kd_tree,minkowski,2
6880,0.8290241868223519,2.7212,False,50,0.0001,9,distance,kd_tree,minkowski,1
4384,0.8290241868223519,2.7273,True,30,0.01,9,distance,kd_tree,minkowski,1
7264,0.8290241868223519,2.7382,False,50,0.001,9,distance,kd_tree,minkowski,1
1312,0.8290241868223519,2.7426,True,10,0.01,9,distance,kd_tree,minkowski,1
2656,0.8290241868223519,2.7461,False,20,0.001,9,distance,kd_tree,minkowski,1
509,0.8290241868223519,2.7505,True,10,0.0001,8,uniform,kd_tree,minkowski,2
6496,0.8290241868223519,2.7514,False,50,1e-05,9,distance,kd_tree,minkowski,1
2272,0.8290241868223519,2.7616,False,20,0.0001,9,distance,kd_tree,minkowski,1
5152,0.8290241868223519,2.7694,True,40,0.0001,9,distance,kd_tree,minkowski,1
4349,0.8290241868223519,2.773,True,30,0.01,8,uniform,kd_tree,minkowski,2
544,0.8290241868223519,2.793,True,10,0.0001,9,distance,kd_tree,minkowski,1
4960,0.8290241868223519,2.8077,False,40,1e-05,9,distance,kd_tree,minkowski,1
3808,0.8290241868223519,2.818,False,30,0.0001,9,distance,kd_tree,minkowski,1
1888,0.8290241868223519,2.8442,False,20,1e-05,9,distance,kd_tree,minkowski,1
3424,0.8290241868223519,2.853,False,30,1e-05,9,distance,kd_tree,minkowski,1
736,0.8290241868223519,2.9008,False,10,0.0001,9,distance,kd_tree,minkowski,1
5501,0.8290241868223519,2.9189,True,40,0.001,8,uniform,kd_tree,minkowski,2
1504,0.8290241868223519,2.9833,False,10,0.01,9,distance,kd_tree,minkowski,1
1120,0.8290241868223519,3.0177,False,10,0.001,9,distance,kd_tree,minkowski,1
352,0.8290241868223519,3.0194,False,10,1e-05,9,distance,kd_tree,minkowski,1
4576,0.8290241868223519,3.0197,False,30,0.01,9,distance,kd_tree,minkowski,1
4192,0.8290241868223519,3.096,False,30,0.001,9,distance,kd_tree,minkowski,1
5344,0.8290241868223519,3.1569,False,40,0.0001,9,distance,kd_tree,minkowski,1
7648,0.8290241868223519,3.1898,False,50,0.01,9,distance,kd_tree,minkowski,1
5728,0.8290241868223519,3.2091,False,40,0.001,9,distance,kd_tree,minkowski,1
6112,0.8290241868223519,3.218,False,40,0.01,9,distance,kd_tree,minkowski,1
1277,0.8290241868223519,3.3161,True,10,0.01,8,uniform,kd_tree,minkowski,2
5536,0.8290241868223519,3.5028,True,40,0.001,9,distance,kd_tree,minkowski,1
3040,0.8290241868223519,3.5945,False,20,0.01,9,distance,kd_tree,minkowski,1
2299,0.8281901584653878,1.6418,False,20,0.0001,10,distance,brute,minkowski,1
7291,0.8281901584653878,1.6529,False,50,0.001,10,distance,brute,minkowski,1
2686,0.8281901584653878,1.6538,False,20,0.001,10,distance,auto,minkowski,1
6523,0.8281901584653878,1.654,False,50,1e-05,10,distance,brute,minkowski,1
382,0.8281901584653878,1.6604,False,10,1e-05,10,distance,auto,minkowski,1
3835,0.8281901584653878,1.6612,False,30,0.0001,10,distance,brute,minkowski,1
763,0.8281901584653878,1.6628,False,10,0.0001,10,distance,brute,minkowski,1
3838,0.8281901584653878,1.663,False,30,0.0001,10,distance,auto,minkowski,1
3802,0.8281901584653878,1.6631,False,30,0.0001,9,uniform,auto,minkowski,1
7294,0.8281901584653878,1.6636,False,50,0.001,10,distance,auto,minkowski,1
